Measured,Predicted,Error
1.16,2.7180179570631724,1.5580179570631725
2.951,2.2608560776567552,-0.6901439223432448
4.401,2.0580049039703345,-2.3429950960296653
3.041,2.1076050675843647,-0.9333949324156352
1.69,2.201923114734996,0.5119231147349961
2.535,2.1028092782536283,-0.43219072174637185
1.39,2.1819696344914155,0.7919696344914156
2.456,2.10774185201417,-0.34825814798582977
1.917,2.19118193559077,0.27418193559077
2.035,2.1861623384197735,0.15116233841977333
1.175,2.2268680215082894,1.0518680215082894
2.056,2.1191113129477164,0.06311131294771632
1.046,2.1733205709340115,1.1273205709340115
2.108,2.1109447064492537,0.002944706449253598
2.659,2.1362259153134224,-0.5227740846865774
1.722,2.1767916397756584,0.4547916397756584
2.324,2.195548986382658,-0.128451013617342
1.795,2.2196564292436887,0.42465642924368874
3.234,2.1801115531582522,-1.0538884468417478
2.108,2.240225553740223,0.13222555374022305
0.899,2.357121980946386,1.4581219809463861
1.589,2.3131816763282598,0.7241816763282598
2.235,2.197288764862423,-0.03771123513757679
3.251,2.1531101759505966,-1.0978898240494033
2.237,2.5089610895472076,0.27196108954720755
2.437,2.1928289991994023,-0.2441710008005975
1.755,2.246405668488869,0.491405668488869
2.751,2.1776114851462642,-0.5733885148537357
1.495,2.2674724697494626,0.7724724697494625
4.079,2.230670560697075,-1.8483294393029248
3.95,2.0979899909331814,-1.8520100090668188
1.773,2.3470693004030485,0.5740693004030486
2.854,2.2738929104293866,-0.5801070895706135
1.571,2.3856496941888925,0.8146496941888925
1.055,2.516249603950218,1.461249603950218
3.761,2.4772051148097307,-1.2837948851902694
2.111,2.8931530788998097,0.7821530788998095
3.591,2.435605020419639,-1.155394979580361
1.803,2.7014060002388876,0.8984060002388876
2.603,2.5439675765558847,-0.05903242344411552
2.655,2.413153854906085,-0.2418461450939149
4.249,2.1809849673298336,-2.068015032670166
1.479,2.439912932696802,0.960912932696802
1.619,2.4170419614587093,0.7980419614587093
3.379,2.1635134190595693,-1.2154865809404307
1.813,2.4008935954349853,0.5878935954349853
2.74,2.0938228320246832,-0.646177167975317
1.707,2.2463143537754027,0.5393143537754026
1.584,2.180414677429927,0.596414677429927
0.302,2.390476294297883,2.088476294297883
2.068,2.061784551628291,-0.006215448371709176
3.029,1.9105474645886824,-1.1184525354113175
