h_km,gamma_theo
0.0,0.671416493500176
0.08695652173913043,0.6714267839389905
0.17391304347826086,0.6714576535572727
0.2608695652173913,0.6715090972610052
0.34782608695652173,0.6715811065617159
0.43478260869565216,0.6716736695788121
0.5217391304347826,0.6717867710428478
0.608695652173913,0.671920392299721
0.6956521739130435,0.6720745113158018
0.782608695652174,0.6722491026839879
0.8695652173913043,0.672444137630685
0.9565217391304347,0.6726595840237103
1.0434782608695652,0.6728954063811148
1.1304347826086958,0.673151565880923
1.217391304347826,0.6734280203717837
1.3043478260869565,0.6737247243845306
1.391304347826087,0.6740416291446454
1.4782608695652175,0.6743786825856211
1.565217391304348,0.6747358293632184
1.6521739130434783,0.6751130108706125
1.7391304347826086,0.6755101652544193
1.8260869565217392,0.6759272274316017
1.9130434782608694,0.6763641291072443
2.0,0.6768207987931912
2.0869565217391304,0.6772971618275412
2.173913043478261,0.6777931403949904
2.2608695652173916,0.678308653548017
2.347826086956522,0.6788436172288984
2.434782608695652,0.6793979442925535
2.5217391304347827,0.6799715445301995
2.608695652173913,0.6805643246938171
2.6956521739130435,0.6811761885214129
2.782608695652174,0.6818070367630692
2.8695652173913047,0.6824567672077722
2.956521739130435,0.6831252747110088
3.0434782608695654,0.6838124512231207
3.130434782608696,0.6845181858184044
3.217391304347826,0.6852423647249486
3.3043478260869565,0.6859848713551949
3.391304347826087,0.6867455863372133
3.4782608695652173,0.687524387546677
3.565217391304348,0.6883211501395288
3.6521739130434785,0.6891357465853227
3.739130434782609,0.6899680467012321
3.826086956521739,0.6908179176867091
3.9130434782608696,0.6916852241587823
4.0,0.6925698281879824
4.086956521739131,0.6934715893348786
4.173913043478261,0.6943903646872156
4.260869565217391,0.6953260088976353
4.347826086956522,0.6962783742219696
4.434782608695652,0.6972473105580914
4.521739130434783,0.6982326654853086
4.608695652173913,0.6992342843042858
4.695652173913044,0.700252010077481
4.782608695652174,0.7012856836700803
4.869565217391304,0.7023351437914193
4.956521739130435,0.7034002270368702
5.043478260869565,0.7044807679301861
5.130434782608696,0.7055765989662817
5.217391304347826,0.7066875506544388
5.304347826086957,0.7078134515619182
5.391304347826087,0.7089541283579645
5.478260869565218,0.710109405858186
5.565217391304348,0.7112791070692962
5.652173913043478,0.7124630532341985
5.739130434782609,0.7136610638773999
5.826086956521739,0.7148729568507364
5.91304347826087,0.7160985483793947
6.0,0.7173376531082136
6.086956521739131,0.7185900841482491
6.173913043478261,0.7198556531235865
6.260869565217392,0.7211341702183831
6.347826086956522,0.7224254442241264
6.434782608695652,0.7237292825870886
6.521739130434783,0.7250454914559648
6.608695652173913,0.7263738757296747
6.695652173913044,0.7277142391053146
6.782608695652174,0.7290663841262406
6.869565217391305,0.7304301122302687
6.956521739130435,0.731805223797974
7.043478260869565,0.7331915182010742
7.130434782608696,0.7345887938508784
7.217391304347826,0.7359968482467893
7.304347826086957,0.7374154780248372
7.391304347826087,0.738844479006235
7.478260869565218,0.7402836462459332
7.565217391304348,0.7417327740811641
7.652173913043478,0.7431916561799539
7.739130434782609,0.7446600855895907
7.826086956521739,0.7461378547850317
7.91304347826087,0.7476247557172329
8.0,0.7491205798613866
8.08695652173913,0.7506251182650523
8.173913043478262,0.7521381615961629
8.260869565217392,0.7536595001908941
8.347826086956522,0.7551889241013799
8.434782608695652,0.7567262231432599
8.521739130434781,0.7582711869430439
