lag_km,gamma
0.6578947368421053,0.6342241125
1.973684210526316,0.4408448769230769
3.2894736842105265,0.6457973469387756
4.605263157894736,0.8408731805555556
5.921052631578949,0.8667980322580643
7.236842105263158,0.6920023571428573
8.55263157894737,1.0305773928571431
9.86842105263158,0.6165511886792453
11.18421052631579,0.8499922611940296
12.5,0.8640958522727271
13.815789473684212,0.9296155342465752
15.131578947368421,0.7297476274509804
16.447368421052634,1.0005942960526317
17.763157894736842,0.8082669107142861
19.078947368421055,0.9417193823529412
20.394736842105267,0.45107873333333337
21.710526315789473,1.3323442040816322
23.02631578947369,1.2890285000000001
24.342105263157894,0.8368050909090912
